plotid,center_lon,center_lat,shape,size_m,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,Land cover elements:Wetland,Land cover elements:Grasses,Land cover elements:Cropland,Land cover elements:Snow/ice,Land cover elements:Barren,Land cover elements:Built-up,Land cover elements:Built-up structures,Land cover elements:Trees,Land cover elements:Water,Land cover elements:Shrubs
100,-97.777651,30.634526,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-25 21:19,1506.3 secs,0,29.00,0,0,0,43.00,0,24.00,0,4.00
101,-97.790714,30.623284,square,100.0,100,jbspiritous@gmail.com,false,,40,2026-02-25 23:34,8135.2 secs,0,0,0,0,79.00,0,0,18.00,0,3.00
102,-97.790714,30.627781,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 22:20,149.0 secs,0,0,0,0,41.00,0,0,47.00,0,12.00
103,-97.790714,30.632278,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 22:22,136.1 secs,0,0,0,0,46.00,3.00,4.00,44.00,0,3.00
104,-97.790714,30.636774,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 22:24,141.2 secs,0,13.00,0,0,22.00,7.00,0,55.00,0,3.00
105,-97.790714,30.641271,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 22:27,134.3 secs,0,15.00,0,0,0,7.00,50.00,28.00,0,0
106,-97.790714,30.645767,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 22:29,126.5 secs,0,14.00,0,0,2.00,4.00,1.00,75.00,0,4.00
107,-97.785489,30.623284,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 22:46,1049.8 secs,0,0,92.00,0,0,0,0,0,0,8.00
108,-97.785489,30.627781,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 23:03,979.4 secs,0,0,0,0,33.00,0,0,59.00,0,8.00
109,-97.785489,30.632278,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 23:15,731.7 secs,0,0,0,0,8.00,0,0,91.00,0,1.00
110,-97.785489,30.636774,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 23:27,768.3 secs,0,45.00,0,0,0,0,39.00,16.00,0,0
111,-97.785489,30.641271,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 23:41,813.7 secs,0,0,0,0,17.00,14.00,7.00,51.00,0,11.00
112,-97.785489,30.645767,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 23:55,807.7 secs,0,38.00,0,0,0,30.00,23.00,9.00,0,0
113,-97.780264,30.623284,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-27 23:57,175.8 secs,0,0,0,0,34.00,0,0,41.00,0,25.00
114,-97.780264,30.627781,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-28 00:10,746.3 secs,0,0,0,0,15.00,0,0,85.00,0,0
115,-97.780264,30.632278,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-28 00:13,215.2 secs,0,0,0,0,9.00,0,0,84.00,0,7.00
116,-97.780264,30.636774,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-28 00:34,1231.3 secs,0,30.00,0,0,0,40.00,25.00,4.00,0,1.00
117,-97.780264,30.641271,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-28 00:43,465.7 secs,0,21.00,0,0,0,32.00,31.00,10.00,6.00,0
118,-97.780264,30.645767,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-02-28 00:48,268.8 secs,0,27.00,0,0,0,21.00,51.00,0,0,1.00
119,-97.775038,30.623284,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 03:44,189.4 secs,0,0,0,0,0,0,0,94.00,0,6.00
120,-97.775038,30.627781,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 03:51,471.5 secs,0,23.00,0,0,57.00,0,0,19.00,1.00,0
121,-97.775038,30.632278,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 03:55,183.1 secs,0,14.00,0,0,0,12.00,0,74.00,0,0
122,-97.775038,30.636774,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 03:57,119.4 secs,0,34.00,0,0,0,3.00,30.00,33.00,0,0
123,-97.775038,30.641271,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 04:01,243.8 secs,0,20.00,0,0,0,22.00,25.00,33.00,0,0
124,-97.775038,30.645767,square,100.0,100,jbspiritous@gmail.com,false,,50,2026-03-10 04:05,215.3 secs,0,10.00,0,0,0,11.00,6.00,73.00,0,0
